towns.id,cites.id,town.name,city_areas.display_name,city_areas.display_name_kana,Group_line_id
31378,262,あけぼの町,あけぼの町,あけぼのちょう,1
31487,262,みやぎ台一丁目,みやぎ台,みやぎだい,2
31560,262,みやぎ台三丁目,みやぎ台,みやぎだい,2
31552,262,みやぎ台二丁目,みやぎ台,みやぎだい,2
31426,262,みやぎ台五丁目,みやぎ台,みやぎだい,2
31482,262,みやぎ台四丁目,みやぎ台,みやぎだい,2
31533,262,一番町一丁目,一番町,いちばんちょう,3
31385,262,一番町三丁目,一番町,いちばんちょう,3
31430,262,一番町二丁目,一番町,いちばんちょう,3
31375,262,一番町四丁目,一番町,いちばんちょう,3
31510,262,三条町,三条町,さんじょうちょう,3
31610,262,上愛子,上愛子,かみあやし,4
31488,262,上杉一丁目,上杉,うえすぎ,5
31473,262,上杉三丁目,上杉,うえすぎ,6